element_id_RealWorld,device_id,MAC,name,source,Area,Pmax,Efficiency,Name in SensorCloud
EL01A,1,000D6F00029C369A,Mithras1,femtogridmithras,2.256995,303.45,0.134448681,000D6F00029C369A
EL01B,2,000D6F00029C36FB,Mithras2,femtogridmithras,2.256995,303.57,0.134501849,000D6F00029C36FB
EL02A,3,000D6F00029C36C9,Mithras3,femtogridmithras,2.256995,301.34,0.133513809,000D6F00029C36C9
EL02B,4,000D6F00029C3687,Mithras4,femtogridmithras,2.256995,304.19,0.13477655,000D6F00029C3687
EL03A,5,000D6F00029C383C,Mithras5,femtogridmithras,2.256995,310.87,0.137736238,000D6F00029C383C
EL03B,6,000D6F00029C3697,Mithras6,femtogridmithras,2.256995,310.54,0.137590026,000D6F00029C3697
EL04A,7,000D6F00029C3622,Mithras7,femtogridmithras,2.256995,306.34,0.135729144,000D6F00029C3622
EL04B,8,000D6F00029C36B6,Mithras8,femtogridmithras,2.256995,299.98,0.132911238,000D6F00029C36B6
EL05A,9,000D6F00029C3698,Mithras9,femtogridmithras,2.256995,313.44,0.13887492,000D6F00029C3698
EL05B,10,000D6F00029C3833,Mithras10,femtogridmithras,2.256995,313.36,0.138839475,000D6F00029C3833
EL06A,11,000D6F00029C371B,Mithras11,femtogridmithras,2.256995,312.37,0.138400838,000D6F00029C371B
EL06B,12,000D6F00029C36D1,Mithras12,femtogridmithras,2.256995,312.1,0.13828121,000D6F00029C36D1
EL07A,13,000D6F00029C36C1,Mithras13,femtogridmithras,2.256995,302.87,0.134191702,000D6F00029C36C1
EL07B,14,000D6F00029C371E,Mithras14,femtogridmithras,2.256995,305.2,0.135224048,000D6F00029C371E
EL08A,15,000D6F00029C3853,Mithras15,femtogridmithras,2.256995,303.82,0.134612615,000D6F00029C3853
EL08B,16,000D6F00029C3691,Mithras16,femtogridmithras,2.256995,302.17,0.133881555,000D6F00029C3691
EL09A,17,000D6F00029C3859,Mithras17,femtogridmithras,2.256995,302.73,0.134129672,000D6F00029C3859
EL09B,18,000D6F00029C3716,Mithras18,femtogridmithras,2.256995,305.72,0.135454443,000D6F00029C3716
EL10A,19,000D6F00029C3858,Mithras19,femtogridmithras,2.256995,299.96,0.132902377,000D6F00029C3858
EL10B,20,000D6F00029C3877,Mithras20,femtogridmithras,2.256995,303.62,0.134524002,000D6F00029C3877
EL11A,21,000D6F00029C36BB,Mithras21,femtogridmithras,2.256995,304.66,0.134984792,000D6F00029C36BB
EL11B,22,000D6F00029C387C,Mithras22,femtogridmithras,2.256995,305.63,0.135414567,000D6F00029C387C
EL12A,23,000D6F00029C3711,Mithras23,femtogridmithras,2.256995,313.2,0.138768584,000D6F00029C3711
